qid,method,score
FB_001_F18BFC11,end_check,5
FB_002_42BE1D74,end_check,5
FB_003_959AE4F2,end_check,5
FB_004_FF1B8BC2,end_check,5
FB_005_FE85BE68,end_check,4
FB_006_A4622E06,end_check,5
FB_007_31B558AC,end_check,4
FB_008_77FDE37A,end_check,4
FB_009_ABDB2F6B,end_check,5
FB_010_CBE1B721,end_check,5
FB_011_F50BA584,end_check,5
FB_012_41487F3A,end_check,5
FB_013_E5C83D85,end_check,5
FB_014_3C2ED91D,end_check,5
FB_015_5E139DB3,end_check,5
FB_017_4ABE7642,end_check,2
FB_018_6E9F56BB,end_check,5
FB_019_A187C1CC,end_check,5
FB_020_C68C8862,end_check,5
FB_021_8ECDBFF6,end_check,5
FB_022_466C1ED8,end_check,5
FB_024_214CEB4C,end_check,5
FB_025_E70F40EB,end_check,4
FB_027_9BE33B25,end_check,5
FB_028_C84B8000,end_check,5
FB_029_CA5B2B49,end_check,5
FB_030_DF79B84F,end_check,4
FB_031_E5667B37,end_check,5
FB_032_D18D6021,end_check,4
FB_033_EE9D3CFB,end_check,2
FB_034_BDBAA961,end_check,5
FB_035_15E1E864,end_check,5
FB_036_47FD0B96,end_check,4
FB_037_CB0A4D6D,end_check,5
FB_038_9BAA83E2,end_check,5
FB_039_FDBB6DC2,end_check,4
FB_040_DBF8FC6A,end_check,4
FB_041_EB5B1B78,end_check,3
FB_042_1741E456,end_check,2
FB_043_1BA81F6A,end_check,5
FB_044_899DEDA7,end_check,5
FB_045_3960FE69,end_check,5
FB_046_E323A993,end_check,5
FB_047_A9C061FE,end_check,5
FB_048_79F71CE3,end_check,5
FB_049_4416C718,end_check,5
FB_050_A0B82AEA,end_check,5
FB_051_091D46D5,end_check,3
FB_052_FC76DF78,end_check,2
FB_053_05E755A5,end_check,5
FB_054_F1BBC565,end_check,5
FB_055_B75D0172,end_check,4
FB_056_E46FAB20,end_check,4
FB_057_2D006C3F,end_check,5
FB_058_4FC4F0E9,end_check,5
FB_060_D8048F85,end_check,5
FB_061_B30537F0,end_check,4
FB_062_CCEDD88C,end_check,4
FB_063_38B981AD,end_check,1
FB_064_7576A9AF,end_check,5
FB_065_8F3B2425,end_check,5
FB_067_92C7D508,end_check,5
FB_068_46FFC913,end_check,5
FB_069_15B93D82,end_check,5
FB_070_4418F850,end_check,5
FB_071_0CB99E74,end_check,4
FB_072_05A484DC,end_check,2
FB_073_5495DBB9,end_check,5
FB_074_499976A7,end_check,5
FB_075_D5F39BB5,end_check,5
FB_076_1BF5949C,end_check,5
FB_077_6547C156,end_check,4
FB_078_F8A3C776,end_check,4
FB_079_C8770283,end_check,2
FB_081_4E1CC3D9,end_check,4
FB_082_4FFC55E4,end_check,5
FB_083_62A760DF,end_check,4
FB_084_403F35B5,end_check,5
FB_085_149EBAE9,end_check,5
FB_086_889F46BB,end_check,5
FB_087_99FD2FB2,end_check,5
FB_088_DD231ABD,end_check,4
FB_089_CF6163C6,end_check,4
FB_090_72CFB567,end_check,5
FB_091_82F6C167,end_check,2
FB_092_1FF70EDD,end_check,4
FB_093_3013F02B,end_check,4
FB_094_62DF77C2,end_check,5
FB_095_25B2B23C,end_check,5
FB_096_3F49DA9A,end_check,5
FB_097_2BA7758E,end_check,4
FB_098_7154A728,end_check,5
FB_099_6BE111D5,end_check,5
FB_100_6814F36E,end_check,4
FB_101_79109208,end_check,5
FB_102_F5764A3D,end_check,5
FB_103_98E6E9E2,end_check,5
FB_104_AE0FFD33,end_check,5
FB_105_61DCE693,end_check,4
FB_106_EB0A9203,end_check,5
FB_107_B17259C6,end_check,5
FB_108_8E72B311,end_check,5
FB_109_F3781DA6,end_check,4
FB_110_74F7847F,end_check,4
FB_111_A4B199F5,end_check,4
FB_112_2DC55A31,end_check,5
FB_113_30E7F266,end_check,5
FB_114_ACC06CE8,end_check,5
FB_115_AE55E4C4,end_check,4
FB_116_1C09CCA7,end_check,4
FB_117_C880E731,end_check,5
FB_118_8B6021A4,end_check,4
FB_119_3CD84B18,end_check,5
FB_120_223C47BE,end_check,5
FB_124_C0D9EB5C,end_check,5
FB_125_E7A2D24B,end_check,5
FB_126_3313FCA9,end_check,5
FB_127_E1B380E5,end_check,5
FB_128_F410AC0E,end_check,3
FB_129_1F62F697,end_check,4
FB_130_B646D047,end_check,4
FB_131_3A78CB5F,end_check,4
FB_132_9F7A4F77,end_check,5
FB_133_F4882588,end_check,2
FB_134_8EAD738D,end_check,1
FB_135_DFC4B0A4,end_check,5
FB_137_A71B03EF,end_check,5
FB_138_1767BBA1,end_check,2
FB_139_4FC46F83,end_check,5
FB_140_E38BA3D2,end_check,4
FB_141_339C8E4B,end_check,4
FB_142_54C31BE1,end_check,5
FB_143_A0EA48F4,end_check,5
FB_144_BD395CC4,end_check,5
FB_145_F02E8ED1,end_check,5
FB_146_6EE83766,end_check,4
FB_147_D81E1F94,end_check,4
FB_148_2F878B14,end_check,5
FB_149_247B6607,end_check,5
FB_150_3E3CE551,end_check,5
FB_001_F18BFC11,vanilla,5
FB_002_42BE1D74,vanilla,4
FB_003_959AE4F2,vanilla,4
FB_004_FF1B8BC2,vanilla,5
FB_005_FE85BE68,vanilla,4
FB_006_A4622E06,vanilla,2
FB_007_31B558AC,vanilla,2
FB_008_77FDE37A,vanilla,5
FB_009_ABDB2F6B,vanilla,5
FB_010_CBE1B721,vanilla,5
FB_011_F50BA584,vanilla,3
FB_012_41487F3A,vanilla,5
FB_013_E5C83D85,vanilla,5
FB_014_3C2ED91D,vanilla,5
FB_015_5E139DB3,vanilla,4
FB_017_4ABE7642,vanilla,4
FB_018_6E9F56BB,vanilla,5
FB_019_A187C1CC,vanilla,3
FB_020_C68C8862,vanilla,5
FB_021_8ECDBFF6,vanilla,5
