hallucination_id,type,original_value,injected_value,original_numeric,injected_numeric,position_char,sentence_approx,perturbation_delta,question_id
FB_001_F18BFC11_H2,dollar_amount,"$1,449 million","$1,677 million",1449,1677,306,2,0.1573,FB_001_F18BFC11
FB_001_F18BFC11_H1,dollar_amount,"$1,487 million","$1,967 million",1487,1967,394,2,0.3226,FB_001_F18BFC11
FB_002_42BE1D74_H2,dollar_amount,$18.2 billion,$14.3 billion,18.2,14.3,124,1,-0.2138,FB_002_42BE1D74
FB_002_42BE1D74_H1,dollar_amount,$17.8 billion,$10.9 billion,17.8,10.9,313,4,-0.3885,FB_002_42BE1D74
FB_003_959AE4F2_H3,dollar_amount,"$45,517 million","$59,768 million",45517,59768,178,1,0.3131,FB_003_959AE4F2
FB_003_959AE4F2_H2,dollar_amount,"$1,451 million","$1,858 million",1451,1858,303,1,0.2805,FB_003_959AE4F2
FB_003_959AE4F2_H1,dollar_amount,"$35,436 million","$29,761 million",35436,29761,821,1,-0.1602,FB_003_959AE4F2
FB_004_FF1B8BC2_H3,dollar_amount,"$6,081 million","$7,927 million",6081,7927,116,2,0.3035,FB_004_FF1B8BC2
FB_004_FF1B8BC2_H2,dollar_amount,"$36,693 million","$46,995 million",36693,46995,275,3,0.2808,FB_004_FF1B8BC2
FB_004_FF1B8BC2_H1,dollar_amount,"$36,086 million","$44,964 million",36086,44964,581,6,0.246,FB_004_FF1B8BC2
FB_005_FE85BE68_H2,dollar_amount,"$12,421 million","$8,236 million",12421,8236,242,2,-0.3369,FB_005_FE85BE68
FB_005_FE85BE68_H1,dollar_amount,"$8,052 million","$6,023 million",8052,6023,412,6,-0.2519,FB_005_FE85BE68
FB_006_A4622E06_H2,dollar_amount,"$8,492 million","$5,902 million",8492,5902,172,2,-0.305,FB_006_A4622E06
FB_006_A4622E06_H1,dollar_amount,"$4,313 million","$5,576 million",4313,5576,460,2,0.2929,FB_006_A4622E06
FB_007_31B558AC_H3,dollar_amount,$750 million,$1009 million,750,1009,321,6,0.3454,FB_007_31B558AC
FB_007_31B558AC_H2,percentage,3.750%,0.010%,3.750,0.010,587,14,-8.0129,FB_007_31B558AC
FB_007_31B558AC_H1,percentage,4.250%,8.500%,4.250,8.500,783,20,4.2512,FB_007_31B558AC
FB_008_77FDE37A_H3,dollar_amount,$1.49 ,$1.08 ,1.49,1.08,83,1,-0.2747,FB_008_77FDE37A
FB_008_77FDE37A_H2,dollar_amount,$1.49 ,$1.90 ,1.49,1.90,225,3,0.2777,FB_008_77FDE37A
FB_008_77FDE37A_H1,dollar_amount,$5.76 ,$7.92 ,5.76,7.92,605,11,0.3747,FB_008_77FDE37A
FB_009_ABDB2F6B_H2,dollar_amount,"$1,025 million","$1,274 million",1025,1274,527,1,0.2429,FB_009_ABDB2F6B
FB_009_ABDB2F6B_H1,dollar_amount,"$1,037 million","$1,435 million",1037,1435,630,1,0.3838,FB_009_ABDB2F6B
FB_010_CBE1B721_H2,percentage,3.3%,14.3%,3.3,14.3,858,2,10.9622,FB_010_CBE1B721
FB_010_CBE1B721_H1,percentage,5.1%,16.3%,5.1,16.3,994,6,11.2167,FB_010_CBE1B721
FB_011_F50BA584_H2,dollar_amount,"$1,626 million","$1,051 million",1626,1051,84,2,-0.3534,FB_011_F50BA584
FB_011_F50BA584_H1,dollar_amount,"$1,660 million","$1,034 million",1660,1034,191,2,-0.3773,FB_011_F50BA584
FB_012_41487F3A_H2,dollar_amount,"$2,825 million","$2,035 million",2825,2035,86,2,-0.2796,FB_012_41487F3A
FB_012_41487F3A_H1,percentage,21.3%,32.8%,21.3,32.8,419,2,11.4575,FB_012_41487F3A
FB_013_E5C83D85_H2,dollar_amount,"$2,927 million","$2,397 million",2927,2397,493,3,-0.181,FB_013_E5C83D85
FB_013_E5C83D85_H1,dollar_amount,"$2,628 million","$3,504 million",2628,3504,714,3,0.3335,FB_013_E5C83D85
FB_014_3C2ED91D_H2,percentage,32.9%,38.5%,32.9,38.5,75,2,5.6521,FB_014_3C2ED91D
FB_014_3C2ED91D_H1,dollar_amount,"$5,786 million","$4,381 million",5786,4381,294,3,-0.2428,FB_014_3C2ED91D
FB_015_5E139DB3_H2,dollar_amount,"$4,895 million","$3,695 million",4895,3695,252,2,-0.2452,FB_015_5E139DB3
FB_015_5E139DB3_H1,dollar_amount,"$3,396 million","$4,076 million",3396,4076,432,2,0.2002,FB_015_5E139DB3
FB_017_4ABE7642_H3,dollar_amount,"$8,814 million","$11,608 million",8814,11608,94,1,0.317,FB_017_4ABE7642
FB_017_4ABE7642_H2,dollar_amount,"$8,187 million","$5,621 million",8187,5621,303,1,-0.3135,FB_017_4ABE7642
FB_017_4ABE7642_H1,dollar_amount,"$8,814 million","$11,413 million",8814,11413,880,1,0.2949,FB_017_4ABE7642
FB_018_6E9F56BB_H2,dollar_amount,"$38,425 million","$27,446 million",38425,27446,495,1,-0.2857,FB_018_6E9F56BB
FB_018_6E9F56BB_H1,dollar_amount,"$39,339 million","$29,233 million",39339,29233,518,1,-0.2569,FB_018_6E9F56BB
FB_019_A187C1CC_H2,dollar_amount,"$17,202 million","$14,425 million",17202,14425,828,8,-0.1615,FB_019_A187C1CC
FB_019_A187C1CC_H1,dollar_amount,"$16,632 million","$10,104 million",16632,10104,1610,8,-0.3925,FB_019_A187C1CC
FB_020_C68C8862_H2,dollar_amount,"$136,004 million","$179,626 million",136004,179626,102,3,0.3207,FB_020_C68C8862
FB_020_C68C8862_H1,percentage,30.8%,26.6%,30.8,26.6,320,3,-4.1481,FB_020_C68C8862
FB_021_8ECDBFF6_H2,dollar_amount,"$11,588 million","$14,743 million",11588,14743,103,3,0.2722,FB_021_8ECDBFF6
FB_021_8ECDBFF6_H1,dollar_amount,"$3,033 million","$2,112 million",3033,2112,383,5,-0.3036,FB_021_8ECDBFF6
FB_022_466C1ED8_H2,dollar_amount,"$1,205 million",$947 million,1205,947,95,1,-0.2139,FB_022_466C1ED8
FB_022_466C1ED8_H1,dollar_amount,"$1,063 million","$1,235 million",1063,1235,321,3,0.1617,FB_022_466C1ED8
FB_024_214CEB4C_H3,dollar_amount,"$2,843 million","$2,085 million",2843,2085,549,2,-0.2667,FB_024_214CEB4C
FB_024_214CEB4C_H2,dollar_amount,"$4,196 million","$2,926 million",4196,2926,834,3,-0.3028,FB_024_214CEB4C
FB_024_214CEB4C_H1,dollar_amount,"$1,058 million",$891 million,1058,891,1062,4,-0.1583,FB_024_214CEB4C
FB_025_E70F40EB_H3,large_number,"1,200","1,669",1200,1669,1149,8,0.3907,FB_025_E70F40EB
FB_025_E70F40EB_H2,large_number,"13,500","17,880",13500,17880,1342,10,0.3244,FB_025_E70F40EB
FB_025_E70F40EB_H1,large_number,"1,100",897,1100,897,1385,10,-0.1847,FB_025_E70F40EB
FB_027_9BE33B25_H3,percentage,20.5%,12.6%,20.5,12.6,70,1,-7.9429,FB_027_9BE33B25
FB_027_9BE33B25_H2,dollar_amount,"$10,000 million","$8,437 million",10000,8437,697,2,-0.1563,FB_027_9BE33B25
FB_027_9BE33B25_H1,percentage,20.5%,9.4%,20.5,9.4,1000,2,-11.1156,FB_027_9BE33B25
FB_028_C84B8000_H2,dollar_amount,$45 million,$38 million,45,38,120,1,-0.1603,FB_028_C84B8000
FB_028_C84B8000_H1,dollar_amount,$50 million,$38 million,50,38,271,2,-0.2427,FB_028_C84B8000
FB_029_CA5B2B49_H2,dollar_amount,"$2,200 million","$2,622 million",2200,2622,106,1,0.1917,FB_029_CA5B2B49
FB_029_CA5B2B49_H1,dollar_amount,"$2,000 million","$1,517 million",2000,1517,321,3,-0.2417,FB_029_CA5B2B49
FB_030_DF79B84F_H2,dollar_amount,"$14,000 million","$16,612 million",14000,16612,348,2,0.1866,FB_030_DF79B84F
FB_030_DF79B84F_H1,dollar_amount,"$13,500 million","$8,955 million",13500,8955,460,2,-0.3367,FB_030_DF79B84F
FB_031_E5667B37_H3,dollar_amount,"$1,165 million",$762 million,1165,762,516,6,-0.3457,FB_031_E5667B37
FB_031_E5667B37_H2,dollar_amount,"$5,506 million","$7,678 million",5506,7678,554,6,0.3944,FB_031_E5667B37
FB_031_E5667B37_H1,percentage,21.2%,29.4%,21.2,29.4,599,6,8.1789,FB_031_E5667B37
FB_032_D18D6021_H2,dollar_amount,"$1,202 million","$1,474 million",1202,1474,606,4,0.2266,FB_032_D18D6021
FB_032_D18D6021_H1,dollar_amount,"$4,973 million","$6,844 million",4973,6844,624,4,0.3762,FB_032_D18D6021
FB_033_EE9D3CFB_H3,dollar_amount,"$10,800 million","$8,249 million",10800,8249,1204,8,-0.2362,FB_033_EE9D3CFB
FB_033_EE9D3CFB_H2,dollar_amount,"$9,763 million","$6,395 million",9763,6395,1367,9,-0.345,FB_033_EE9D3CFB
FB_033_EE9D3CFB_H1,dollar_amount,"$3,763 million","$4,399 million",3763,4399,1502,9,0.1691,FB_033_EE9D3CFB
FB_034_BDBAA961_H3,dollar_amount,"$16,420 million","$22,281 million",16420,22281,268,3,0.3569,FB_034_BDBAA961
FB_034_BDBAA961_H2,percentage,43.8%,33.9%,43.8,33.9,557,5,-9.9152,FB_034_BDBAA961
FB_034_BDBAA961_H1,dollar_amount,"$16,420 million","$10,590 million",16420,10590,616,7,-0.3551,FB_034_BDBAA961
FB_035_15E1E864_H3,percentage,14.0%,6.4%,14.0,6.4,124,2,-7.6351,FB_035_15E1E864
FB_035_15E1E864_H2,large_number,"1,832","2,445",1832,2445,327,5,0.3349,FB_035_15E1E864
FB_035_15E1E864_H1,large_number,"9,763","12,160",9763,12160,534,7,0.2456,FB_035_15E1E864
