question_id,hallucination_id,method,injection_type,injected_numeric,original_numeric,survived,original_restored,corrected_to_gt,gt_present,propagation_depth,ps1,ps2,ps3,ps4,refuted_g1,refuted_g2,refuted_g3,survived_original,quality_score
FB_001_F18BFC11,FB_001_F18BFC11_H2,vanilla,dollar_amount,1677.0,1449.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_001_F18BFC11,FB_001_F18BFC11_H1,vanilla,dollar_amount,1967.0,1487.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_002_42BE1D74,FB_002_42BE1D74_H2,vanilla,dollar_amount,14.3,18.2,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_002_42BE1D74,FB_002_42BE1D74_H1,vanilla,dollar_amount,10.9,17.8,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_003_959AE4F2,FB_003_959AE4F2_H3,vanilla,dollar_amount,59768.0,45517.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_003_959AE4F2,FB_003_959AE4F2_H2,vanilla,dollar_amount,1858.0,1451.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_003_959AE4F2,FB_003_959AE4F2_H1,vanilla,dollar_amount,29761.0,35436.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_004_FF1B8BC2,FB_004_FF1B8BC2_H3,vanilla,dollar_amount,7927.0,6081.0,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_004_FF1B8BC2,FB_004_FF1B8BC2_H2,vanilla,dollar_amount,46995.0,36693.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_004_FF1B8BC2,FB_004_FF1B8BC2_H1,vanilla,dollar_amount,44964.0,36086.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_005_FE85BE68,FB_005_FE85BE68_H2,vanilla,dollar_amount,8236.0,12421.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_005_FE85BE68,FB_005_FE85BE68_H1,vanilla,dollar_amount,6023.0,8052.0,False,True,False,False,3,True,True,True,False,False,False,False,,
FB_006_A4622E06,FB_006_A4622E06_H2,vanilla,dollar_amount,5902.0,8492.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_006_A4622E06,FB_006_A4622E06_H1,vanilla,dollar_amount,5576.0,4313.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_007_31B558AC,FB_007_31B558AC_H3,vanilla,dollar_amount,1009.0,750.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_007_31B558AC,FB_007_31B558AC_H2,vanilla,percentage,0.01,3.75,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_007_31B558AC,FB_007_31B558AC_H1,vanilla,percentage,8.5,4.25,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_008_77FDE37A,FB_008_77FDE37A_H3,vanilla,dollar_amount,1.08,1.49,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_008_77FDE37A,FB_008_77FDE37A_H2,vanilla,dollar_amount,1.9,1.49,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_008_77FDE37A,FB_008_77FDE37A_H1,vanilla,dollar_amount,7.92,5.76,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_009_ABDB2F6B,FB_009_ABDB2F6B_H2,vanilla,dollar_amount,1274.0,1025.0,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_009_ABDB2F6B,FB_009_ABDB2F6B_H1,vanilla,dollar_amount,1435.0,1037.0,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_010_CBE1B721,FB_010_CBE1B721_H2,vanilla,percentage,14.3,3.3,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_010_CBE1B721,FB_010_CBE1B721_H1,vanilla,percentage,16.3,5.1,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_011_F50BA584,FB_011_F50BA584_H2,vanilla,dollar_amount,1051.0,1626.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_011_F50BA584,FB_011_F50BA584_H1,vanilla,dollar_amount,1034.0,1660.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_012_41487F3A,FB_012_41487F3A_H2,vanilla,dollar_amount,2035.0,2825.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_012_41487F3A,FB_012_41487F3A_H1,vanilla,percentage,32.8,21.3,False,False,False,False,2,True,True,False,False,False,False,False,,
FB_013_E5C83D85,FB_013_E5C83D85_H2,vanilla,dollar_amount,2397.0,2927.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_013_E5C83D85,FB_013_E5C83D85_H1,vanilla,dollar_amount,3504.0,2628.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_014_3C2ED91D,FB_014_3C2ED91D_H2,vanilla,percentage,38.5,32.9,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_014_3C2ED91D,FB_014_3C2ED91D_H1,vanilla,dollar_amount,4381.0,5786.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_015_5E139DB3,FB_015_5E139DB3_H2,vanilla,dollar_amount,3695.0,4895.0,True,False,False,True,4,True,True,True,True,False,False,False,,
FB_015_5E139DB3,FB_015_5E139DB3_H1,vanilla,dollar_amount,4076.0,3396.0,True,False,False,True,4,True,True,True,True,False,False,False,,
FB_017_4ABE7642,FB_017_4ABE7642_H3,vanilla,dollar_amount,11608.0,8814.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_017_4ABE7642,FB_017_4ABE7642_H2,vanilla,dollar_amount,5621.0,8187.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_017_4ABE7642,FB_017_4ABE7642_H1,vanilla,dollar_amount,11413.0,8814.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_018_6E9F56BB,FB_018_6E9F56BB_H2,vanilla,dollar_amount,27446.0,38425.0,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_018_6E9F56BB,FB_018_6E9F56BB_H1,vanilla,dollar_amount,29233.0,39339.0,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_019_A187C1CC,FB_019_A187C1CC_H2,vanilla,dollar_amount,14425.0,17202.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_019_A187C1CC,FB_019_A187C1CC_H1,vanilla,dollar_amount,10104.0,16632.0,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_020_C68C8862,FB_020_C68C8862_H2,vanilla,dollar_amount,179626.0,136004.0,True,False,False,True,4,True,True,True,True,False,False,False,,
FB_020_C68C8862,FB_020_C68C8862_H1,vanilla,percentage,26.6,30.8,True,False,False,True,4,True,True,True,True,False,False,False,,
FB_021_8ECDBFF6,FB_021_8ECDBFF6_H2,vanilla,dollar_amount,14743.0,11588.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_021_8ECDBFF6,FB_021_8ECDBFF6_H1,vanilla,dollar_amount,2112.0,3033.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_022_466C1ED8,FB_022_466C1ED8_H2,vanilla,dollar_amount,947.0,1205.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_022_466C1ED8,FB_022_466C1ED8_H1,vanilla,dollar_amount,1235.0,1063.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_024_214CEB4C,FB_024_214CEB4C_H3,vanilla,dollar_amount,2085.0,2843.0,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_024_214CEB4C,FB_024_214CEB4C_H2,vanilla,dollar_amount,2926.0,4196.0,False,True,False,False,1,True,False,False,False,False,False,False,,
FB_024_214CEB4C,FB_024_214CEB4C_H1,vanilla,dollar_amount,891.0,1058.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_025_E70F40EB,FB_025_E70F40EB_H3,vanilla,large_number,1669.0,1200.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_025_E70F40EB,FB_025_E70F40EB_H2,vanilla,large_number,17880.0,13500.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_025_E70F40EB,FB_025_E70F40EB_H1,vanilla,large_number,897.0,1100.0,False,False,False,False,0,False,False,False,False,False,False,False,,
FB_027_9BE33B25,FB_027_9BE33B25_H3,vanilla,percentage,12.6,20.5,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_027_9BE33B25,FB_027_9BE33B25_H2,vanilla,dollar_amount,8437.0,10000.0,False,False,False,False,2,True,True,False,False,False,False,False,,
FB_027_9BE33B25,FB_027_9BE33B25_H1,vanilla,percentage,9.4,20.5,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_028_C84B8000,FB_028_C84B8000_H2,vanilla,dollar_amount,38.0,45.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_028_C84B8000,FB_028_C84B8000_H1,vanilla,dollar_amount,38.0,50.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_029_CA5B2B49,FB_029_CA5B2B49_H2,vanilla,dollar_amount,2622.0,2200.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_029_CA5B2B49,FB_029_CA5B2B49_H1,vanilla,dollar_amount,1517.0,2000.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_030_DF79B84F,FB_030_DF79B84F_H2,vanilla,dollar_amount,16612.0,14000.0,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_030_DF79B84F,FB_030_DF79B84F_H1,vanilla,dollar_amount,8955.0,13500.0,False,True,False,False,1,True,False,False,False,False,False,False,,
FB_031_E5667B37,FB_031_E5667B37_H3,vanilla,dollar_amount,762.0,1165.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_031_E5667B37,FB_031_E5667B37_H2,vanilla,dollar_amount,7678.0,5506.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_031_E5667B37,FB_031_E5667B37_H1,vanilla,percentage,29.4,21.2,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_032_D18D6021,FB_032_D18D6021_H2,vanilla,dollar_amount,1474.0,1202.0,False,True,False,False,3,True,True,True,False,False,False,False,,
FB_032_D18D6021,FB_032_D18D6021_H1,vanilla,dollar_amount,6844.0,4973.0,False,True,False,False,3,True,True,True,False,False,False,False,,
FB_033_EE9D3CFB,FB_033_EE9D3CFB_H3,vanilla,dollar_amount,8249.0,10800.0,False,False,False,False,3,True,True,True,False,False,False,False,,
FB_033_EE9D3CFB,FB_033_EE9D3CFB_H2,vanilla,dollar_amount,6395.0,9763.0,False,False,False,False,2,True,True,False,False,False,False,False,,
FB_033_EE9D3CFB,FB_033_EE9D3CFB_H1,vanilla,dollar_amount,4399.0,3763.0,False,False,False,False,2,True,True,False,False,False,False,False,,
FB_034_BDBAA961,FB_034_BDBAA961_H3,vanilla,dollar_amount,22281.0,16420.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_034_BDBAA961,FB_034_BDBAA961_H2,vanilla,percentage,33.9,43.8,False,False,False,False,2,True,True,False,False,False,False,False,,
FB_034_BDBAA961,FB_034_BDBAA961_H1,vanilla,dollar_amount,10590.0,16420.0,False,False,False,False,2,True,True,False,False,False,False,False,,
FB_035_15E1E864,FB_035_15E1E864_H3,vanilla,percentage,6.4,14.0,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_035_15E1E864,FB_035_15E1E864_H2,vanilla,large_number,2445.0,1832.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_035_15E1E864,FB_035_15E1E864_H1,vanilla,large_number,12160.0,9763.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_036_47FD0B96,FB_036_47FD0B96_H2,vanilla,large_number,802.0,1028.0,False,True,False,False,0,False,False,False,False,False,False,False,,
FB_036_47FD0B96,FB_036_47FD0B96_H1,vanilla,large_number,1829.0,1525.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_037_CB0A4D6D,FB_037_CB0A4D6D_H3,vanilla,dollar_amount,3135.0,3800.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_037_CB0A4D6D,FB_037_CB0A4D6D_H2,vanilla,dollar_amount,2208.0,3100.0,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_037_CB0A4D6D,FB_037_CB0A4D6D_H1,vanilla,dollar_amount,2500.0,3100.0,False,True,False,False,1,True,False,False,False,False,False,False,,
FB_038_9BAA83E2,FB_038_9BAA83E2_H2,vanilla,dollar_amount,19432.0,23600.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_038_9BAA83E2,FB_038_9BAA83E2_H1,vanilla,percentage,51.7,55.0,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_039_FDBB6DC2,FB_039_FDBB6DC2_H3,vanilla,dollar_amount,1372.0,1000.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_039_FDBB6DC2,FB_039_FDBB6DC2_H2,vanilla,percentage,0.01,4.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_039_FDBB6DC2,FB_039_FDBB6DC2_H1,vanilla,dollar_amount,46807.0,39000.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_040_DBF8FC6A,FB_040_DBF8FC6A_H2,vanilla,dollar_amount,62827.0,51000.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_040_DBF8FC6A,FB_040_DBF8FC6A_H1,vanilla,percentage,29.6,21.6,False,False,False,False,2,True,True,False,False,False,False,False,,
FB_041_EB5B1B78,FB_041_EB5B1B78_H3,vanilla,dollar_amount,48564.0,36090.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_041_EB5B1B78,FB_041_EB5B1B78_H2,vanilla,dollar_amount,5847.0,4825.0,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_041_EB5B1B78,FB_041_EB5B1B78_H1,vanilla,dollar_amount,49343.0,36090.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_042_1741E456,FB_042_1741E456_H2,vanilla,dollar_amount,23630.0,18816.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_042_1741E456,FB_042_1741E456_H1,vanilla,dollar_amount,17915.0,28842.0,False,False,False,False,3,True,True,True,False,False,False,False,,
FB_043_1BA81F6A,FB_043_1BA81F6A_H3,vanilla,percentage,24.1,20.1,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_043_1BA81F6A,FB_043_1BA81F6A_H2,vanilla,dollar_amount,5968.0,7667.0,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_043_1BA81F6A,FB_043_1BA81F6A_H1,vanilla,percentage,31.3,20.1,False,True,False,False,2,True,True,False,False,False,False,False,,
FB_044_899DEDA7,FB_044_899DEDA7_H3,vanilla,dollar_amount,87723.0,106196.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_044_899DEDA7,FB_044_899DEDA7_H2,vanilla,dollar_amount,75098.0,58160.0,True,False,False,False,4,True,True,True,True,False,False,False,,
FB_044_899DEDA7,FB_044_899DEDA7_H1,vanilla,dollar_amount,35269.0,50000.0,True,False,False,False,4,True,True,True,True,False,False,False,,
