question_id,hallucination_id,model,injection_type,original_value,injected_value,detected,reason,confidence,total_flags_by_skeptic,total_claims_reviewed
FB_001_F18BFC11,FB_001_F18BFC11_H2,Gemini 2.5 Flash,dollar_amount,"$1,449 million","$1,677 million",False,,,0,6
FB_001_F18BFC11,FB_001_F18BFC11_H1,Gemini 2.5 Flash,dollar_amount,"$1,487 million","$1,967 million",False,,,0,6
FB_002_42BE1D74,FB_002_42BE1D74_H2,Gemini 2.5 Flash,dollar_amount,$18.2 billion,$14.3 billion,True,"This figure, when viewed in the context of the reported FY2017 Net PPNE of $18.0 billion, implies a 20.5% year-over-year decrease. While a decrease is possible, this magnitude, especially following an implausible 65.1% increase from FY2016 to FY2017, contributes to an overall highly erratic and unlikely trend for Net PPNE for a stable industrial company like 3M.",high,3,3
FB_002_42BE1D74,FB_002_42BE1D74_H1,Gemini 2.5 Flash,dollar_amount,$17.8 billion,$10.9 billion,True,"This figure is highly suspicious. It implies an implausible 65.1% year-over-year increase from the reported FY2016 Net PPNE of $10.9 billion, followed by a significant 20.5% decrease to the reported FY2018 Net PPNE of $14.3 billion. Such extreme volatility in Net PPNE for a large, mature industrial company like 3M is highly improbable without major, specific, and publicly known events (e.g., massive acquisitions/divestitures or revaluations) that would typically be highlighted.",high,3,3
FB_003_959AE4F2,FB_003_959AE4F2_H3,Gemini 2.5 Flash,dollar_amount,"$45,517 million","$59,768 million",False,,,1,9
FB_003_959AE4F2,FB_003_959AE4F2_H2,Gemini 2.5 Flash,dollar_amount,"$1,451 million","$1,858 million",False,,,1,9
FB_003_959AE4F2,FB_003_959AE4F2_H1,Gemini 2.5 Flash,dollar_amount,"$35,436 million","$29,761 million",False,,,1,9
FB_004_FF1B8BC2,FB_004_FF1B8BC2_H3,Gemini 2.5 Flash,dollar_amount,"$6,081 million","$7,927 million",True,"This operating income figure for FY2022 contradicts another operating income figure provided for the same year ($6,081 million) in the supporting data section.",high,7,11
FB_004_FF1B8BC2,FB_004_FF1B8BC2_H2,Gemini 2.5 Flash,dollar_amount,"$36,693 million","$46,995 million",True,"This total revenue figure for FY2022 contradicts another total revenue figure provided for the same year ($46,995 million) in the supporting data section.",high,7,11
FB_004_FF1B8BC2,FB_004_FF1B8BC2_H1,Gemini 2.5 Flash,dollar_amount,"$36,086 million","$44,964 million",True,"This total revenue figure for FY2022 contradicts another total revenue figure provided for the same year ($46,995 million) in the supporting data section.",high,7,11
FB_005_FE85BE68,FB_005_FE85BE68_H2,Gemini 2.5 Flash,dollar_amount,"$12,421 million","$8,236 million",False,,,1,10
FB_005_FE85BE68,FB_005_FE85BE68_H1,Gemini 2.5 Flash,dollar_amount,"$8,052 million","$6,023 million",False,,,1,10
FB_006_A4622E06,FB_006_A4622E06_H2,Gemini 2.5 Flash,dollar_amount,"$8,492 million","$5,902 million",False,,,2,7
FB_006_A4622E06,FB_006_A4622E06_H1,Gemini 2.5 Flash,dollar_amount,"$4,313 million","$5,576 million",False,,,2,7
FB_007_31B558AC,FB_007_31B558AC_H3,Gemini 2.5 Flash,dollar_amount,$750 million,$1009 million,True,This figure is internally inconsistent with the specific debt security listed for the same year: '3M Company 2.750% Notes due 2025 - $1009 million'. The maturity schedule amount ($750 million) does not match the principal amount of the 2025 notes ($1009 million).,high,4,16
FB_007_31B558AC,FB_007_31B558AC_H2,Gemini 2.5 Flash,percentage,3.750%,0.010%,True,"An interest rate of 0.010% for corporate notes maturing in 2028 is implausibly low for a company like 3M, even in a low-interest-rate environment. This rate is more typical of central bank policy rates or extremely short-term, risk-free government securities, not corporate debt.",high,4,16
FB_007_31B558AC,FB_007_31B558AC_H1,Gemini 2.5 Flash,percentage,4.250%,8.500%,True,"An interest rate of 8.500% for 3M's long-term debt is unusually high for an investment-grade company, especially when other listed notes have rates between 2.25% and 4.00%. While possible under specific market conditions or for a different credit profile, it stands out as potentially fabricated or inaccurate in this context.",medium,4,16
FB_008_77FDE37A,FB_008_77FDE37A_H3,Gemini 2.5 Flash,dollar_amount,$1.49 ,$1.08 ,True,"3M is a dividend aristocrat known for consistent, slightly increasing quarterly dividends, which have historically been $1.50 per share for many years. A drop to $1.08 per share represents a significant dividend cut (nearly 28% from its typical $1.50) which would be highly unusual and major news for a company with 60+ years of dividend increases.",high,4,10
FB_008_77FDE37A,FB_008_77FDE37A_H2,Gemini 2.5 Flash,dollar_amount,$1.49 ,$1.90 ,True,"This figure is significantly higher than 3M's actual quarterly dividend of $1.50 per share. If this were true, it would imply an annual dividend of $7.60, which contradicts the reported FY2022 annual dividend of $5.92 per share. The subsequent drop to $1.08 in Q2 2023 also creates an implausible and highly volatile dividend trend for a stable company like 3M.",high,4,10
FB_008_77FDE37A,FB_008_77FDE37A_H1,Gemini 2.5 Flash,dollar_amount,$5.76 ,$7.92 ,True,"This figure represents a massive increase from the FY2021 ($5.88) and FY2022 ($5.92) annual dividends, and an even more dramatic subsequent cut. 3M, a dividend aristocrat, is known for modest annual dividend increases, not such large fluctuations or cuts (over 25% in one year). This figure is highly inconsistent with 3M's historical dividend policy and would have been major news if true. Furthermore, to maintain the reported 61.5% payout ratio, this dividend implies an unusually high EPS for 2020 ($12.88) compared to subsequent years (approx. $9.50).",high,4,10
FB_009_ABDB2F6B,FB_009_ABDB2F6B_H2,Gemini 2.5 Flash,dollar_amount,"$1,025 million","$1,274 million",True,"This value for FY2018 Property, Plant, and Equipment (PP&E) contradicts the previously stated 'Property, Plant, and Equipment (PP&E) as of December 31, 2018: $1,025 million' in the supporting data section.",high,4,7
FB_009_ABDB2F6B,FB_009_ABDB2F6B_H1,Gemini 2.5 Flash,dollar_amount,"$1,037 million","$1,435 million",True,"The stated calculation ($1,049 million + $1,274 million) / 2 actually equals $1,161.5 million, not $1,037 million. The result is inconsistent with the provided inputs for the calculation.",high,4,7
FB_010_CBE1B721,FB_010_CBE1B721_H2,Gemini 2.5 Flash,percentage,3.3%,14.3%,True,"The calculation (244 / 7,500) * 100 equals approximately 3.3%, not 14.3%. This is a significant arithmetic error.",high,2,14
